Shipment ID,Order ID,Sender ID,Receiver ID,Sender Location,Receiver Location,Courier Service,Delivery Hub,Shipment Weight (kg),Distance (km),Estimated Delivery (days),Actual Delivery (days),Shipment Status,Current Location,Shipping Cost,Payment Status,Tracking Number,Customer Rating,Review Comments
SHIP470877,ORD376969,SND4095,RCV5112,Kolkata,Pune,FedEx,Chennai Hub,8.26,796.93,8,9,Delayed,Pune,601.15,Paid,TRK802943,,
SHIP416448,ORD538609,SND1008,RCV3346,Delhi,Ahmedabad,FedEx,Bangalore Hub,10.86,415.09,4,2,Returned,Pune,1050.12,Failed,TRK253118,,
SHIP472113,ORD661255,SND7524,RCV3226,Bangalore,Kolkata,India Post,Chennai Hub,6.42,1753.02,8,9,Delivered,Kolkata,1199.16,Pending,TRK797828,1.7,Package damaged
SHIP459602,ORD723097,SND9348,RCV5161,Chennai,Kolkata,Blue Dart,Mumbai Hub,3.25,176.02,6,5,Lost,Mumbai,1292.94,Failed,TRK866442,,
SHIP758945,ORD682145,SND2960,RCV7499,Hyderabad,Chennai,FedEx,Mumbai Hub,4.1,541.09,7,9,Out for Delivery,Kolkata,896.94,Pending,TRK142399,,
SHIP518195,ORD348008,SND5205,RCV8350,Kolkata,Chennai,India Post,Delhi Hub,0.75,853.43,2,4,Delivered,Chennai,1046.48,Paid,TRK963535,2.4,Package damaged
SHIP614261,ORD583797,SND7637,RCV1219,Kolkata,Mumbai,Amazon Logistics,Chennai Hub,18.58,1247.95,5,8,In Transit,Pune,1828.53,Paid,TRK845485,,
SHIP868379,ORD131370,SND8719,RCV1701,Ahmedabad,Pune,UPS,Kolkata Hub,10.08,463.13,8,8,In Transit,Chennai,1809.84,Pending,TRK374557,,
SHIP471822,ORD568915,SND3093,RCV8679,Chennai,Kolkata,DTDC,Hyderabad Hub,3.61,794.32,6,4,In Transit,Ahmedabad,1100.95,Pending,TRK804058,,
SHIP170906,ORD376182,SND2725,RCV7315,Pune,Kolkata,DHL,Chennai Hub,5.54,1577.48,2,4,Delayed,Chennai,207.09,Failed,TRK175173,,
SHIP950332,ORD157038,SND4779,RCV8999,Bangalore,Kolkata,Amazon Logistics,Bangalore Hub,2.93,916.54,3,2,Delayed,Ahmedabad,582.25,Pending,TRK227531,,
SHIP804607,ORD835281,SND8713,RCV8024,Delhi,Bangalore,DTDC,Kolkata Hub,8.96,618.62,1,-1,Returned,Mumbai,109.58,Pending,TRK686923,,
SHIP585852,ORD697011,SND6244,RCV6017,Hyderabad,Mumbai,DTDC,Kolkata Hub,18.71,457.85,10,12,Returned,Kolkata,118.86,Pending,TRK533081,,
SHIP870883,ORD789199,SND2903,RCV5770,Delhi,Mumbai,India Post,Bangalore Hub,13.72,1298.34,3,3,Lost,Delhi,781.6,Failed,TRK820635,,
SHIP729437,ORD494971,SND1397,RCV6444,Mumbai,Ahmedabad,UPS,Mumbai Hub,5.33,1640.8,5,4,Delayed,Mumbai,589.13,Paid,TRK567793,,
SHIP878032,ORD335624,SND9395,RCV4798,Chennai,Bangalore,UPS,Bangalore Hub,19.18,1404.95,4,2,Delivered,Bangalore,742.86,Failed,TRK787039,1.6,Late delivery
SHIP967297,ORD285465,SND4680,RCV2360,Kolkata,Ahmedabad,DTDC,Mumbai Hub,8.63,249.88,6,7,Returned,Bangalore,1047.58,Paid,TRK541084,,
SHIP966013,ORD976041,SND2812,RCV6932,Pune,Chennai,Amazon Logistics,Chennai Hub,2.08,1428.23,9,11,Delivered,Chennai,1121.9,Paid,TRK738780,3.2,On-time service
SHIP581557,ORD346843,SND5463,RCV4044,Kolkata,Pune,India Post,Kolkata Hub,5.33,58.35,9,7,In Transit,Pune,999.05,Pending,TRK979252,,
SHIP600810,ORD450311,SND5181,RCV3887,Bangalore,Delhi,UPS,Kolkata Hub,13.26,986.55,8,7,In Transit,Hyderabad,295.75,Pending,TRK966705,,
SHIP659136,ORD985041,SND3833,RCV6180,Hyderabad,Bangalore,DTDC,Bangalore Hub,14.38,1983.28,10,11,Returned,Pune,1291.82,Paid,TRK148688,,
SHIP884099,ORD301776,SND7154,RCV6735,Chennai,Pune,Blue Dart,Hyderabad Hub,12.5,529.43,8,7,Returned,Mumbai,1176.08,Paid,TRK560197,,
SHIP799906,ORD834322,SND4653,RCV7608,Mumbai,Kolkata,FedEx,Kolkata Hub,13.27,1388.09,1,4,Out for Delivery,Kolkata,353.35,Pending,TRK539677,,
SHIP649277,ORD551775,SND7108,RCV4529,Delhi,Hyderabad,Amazon Logistics,Chennai Hub,15.73,991.95,9,10,Out for Delivery,Delhi,759.41,Pending,TRK979685,,
SHIP321496,ORD114698,SND9841,RCV6310,Bangalore,Pune,Amazon Logistics,Bangalore Hub,16.5,1719.14,6,4,Delivered,Pune,438.21,Failed,TRK959355,5,Fast delivery!
SHIP415129,ORD869397,SND7091,RCV5368,Ahmedabad,Bangalore,Blue Dart,Kolkata Hub,7.45,367.94,3,5,Delivered,Bangalore,1137.27,Failed,TRK178997,2.9,
SHIP430889,ORD877760,SND9114,RCV5991,Mumbai,Mumbai,Amazon Logistics,Delhi Hub,14.73,827.86,7,6,Delivered,Mumbai,1382.86,Paid,TRK138834,3,Late delivery
SHIP727643,ORD577213,SND4461,RCV5618,Bangalore,Ahmedabad,Amazon Logistics,Bangalore Hub,9.67,344.62,8,6,Out for Delivery,Bangalore,361.35,Paid,TRK758706,,
SHIP661569,ORD737375,SND4203,RCV2299,Bangalore,Chennai,FedEx,Delhi Hub,7.03,1655.77,1,0,Out for Delivery,Chennai,1259.72,Failed,TRK677289,,
SHIP461445,ORD526664,SND4299,RCV5691,Hyderabad,Ahmedabad,DTDC,Hyderabad Hub,19.63,554.38,7,7,Returned,Pune,1969.87,Paid,TRK349990,,
SHIP962399,ORD642536,SND3563,RCV9529,Kolkata,Kolkata,FedEx,Delhi Hub,15.97,1466.62,7,6,In Transit,Pune,582.86,Paid,TRK113225,,
SHIP810453,ORD693802,SND6984,RCV1319,Chennai,Chennai,Amazon Logistics,Chennai Hub,6.1,1679.15,5,4,Delayed,Pune,766.77,Paid,TRK615250,,
SHIP416625,ORD689724,SND6156,RCV6268,Chennai,Ahmedabad,DHL,Hyderabad Hub,13.33,1815.7,3,1,Delayed,Mumbai,420.92,Pending,TRK180268,,
SHIP754763,ORD515035,SND7975,RCV3007,Hyderabad,Bangalore,Amazon Logistics,Bangalore Hub,11.59,912.18,9,8,Delayed,Ahmedabad,1699.98,Pending,TRK350663,,
SHIP104043,ORD164240,SND8924,RCV9412,Hyderabad,Delhi,DHL,Bangalore Hub,16.87,223.8,6,8,Returned,Hyderabad,1489.86,Pending,TRK257888,,
SHIP934073,ORD976478,SND6062,RCV1435,Hyderabad,Hyderabad,FedEx,Mumbai Hub,13.23,317.6,4,3,Lost,Delhi,920.55,Failed,TRK566187,,
SHIP430038,ORD543530,SND9168,RCV9622,Mumbai,Hyderabad,FedEx,Mumbai Hub,15.26,1207.4,4,6,Out for Delivery,Pune,901,Paid,TRK974315,,
SHIP531508,ORD664361,SND1074,RCV3261,Delhi,Mumbai,Amazon Logistics,Hyderabad Hub,2.09,331.46,5,3,Delivered,Mumbai,812.87,Failed,TRK679518,2.4,Package damaged
SHIP574154,ORD359432,SND7768,RCV8407,Hyderabad,Bangalore,DTDC,Kolkata Hub,2.57,1574.16,2,5,Lost,Mumbai,1613.77,Paid,TRK605935,,
SHIP676663,ORD531723,SND4448,RCV1988,Ahmedabad,Bangalore,UPS,Kolkata Hub,4.28,717.09,3,1,Out for Delivery,Pune,1824.32,Paid,TRK209988,,
SHIP623031,ORD668113,SND4263,RCV9137,Bangalore,Bangalore,FedEx,Kolkata Hub,12.96,313.71,10,12,Out for Delivery,Chennai,423.71,Paid,TRK851662,,
SHIP596290,ORD466443,SND6971,RCV8874,Bangalore,Bangalore,India Post,Kolkata Hub,15.19,1268.53,9,8,In Transit,Bangalore,1965.35,Failed,TRK596725,,
SHIP688378,ORD391716,SND3696,RCV8475,Kolkata,Ahmedabad,Amazon Logistics,Chennai Hub,5.16,6.6,9,8,Delayed,Bangalore,437.72,Pending,TRK652417,,
SHIP848546,ORD330610,SND1974,RCV2646,Hyderabad,Ahmedabad,Blue Dart,Chennai Hub,4.03,518.71,8,6,Returned,Ahmedabad,1585.65,Failed,TRK433084,,
SHIP488005,ORD884294,SND2073,RCV9463,Chennai,Hyderabad,DTDC,Delhi Hub,3.34,1512.72,6,6,Delayed,Bangalore,1705.02,Pending,TRK419982,,
SHIP645676,ORD622792,SND6100,RCV3840,Kolkata,Ahmedabad,UPS,Mumbai Hub,7.99,294.98,5,5,Out for Delivery,Pune,1287.61,Pending,TRK527604,,
SHIP389505,ORD486472,SND3651,RCV5311,Kolkata,Bangalore,DHL,Hyderabad Hub,9.42,1384.4,8,10,Out for Delivery,Mumbai,1947.94,Paid,TRK496968,,
SHIP433550,ORD525771,SND9114,RCV8286,Bangalore,Delhi,Amazon Logistics,Bangalore Hub,19.95,535.93,2,1,Returned,Kolkata,593.2,Failed,TRK641771,,
SHIP420491,ORD830722,SND2809,RCV7426,Kolkata,Delhi,Amazon Logistics,Kolkata Hub,14.11,172.51,4,2,Out for Delivery,Kolkata,434.39,Paid,TRK974604,,
SHIP566734,ORD667055,SND4708,RCV4586,Mumbai,Pune,India Post,Delhi Hub,18.46,471.62,6,5,In Transit,Mumbai,1076.87,Pending,TRK516661,,
SHIP489243,ORD832628,SND3061,RCV2738,Chennai,Bangalore,DTDC,Bangalore Hub,1.78,1225.66,4,6,Delayed,Mumbai,447.86,Paid,TRK358554,,
SHIP451805,ORD605848,SND1817,RCV2886,Delhi,Bangalore,FedEx,Delhi Hub,12.26,481.6,8,10,Delayed,Pune,102.28,Failed,TRK895582,,
SHIP611479,ORD283233,SND6370,RCV3199,Pune,Pune,Blue Dart,Kolkata Hub,16.65,1993.48,10,10,In Transit,Ahmedabad,842.33,Failed,TRK197222,,
SHIP609008,ORD449346,SND7997,RCV3854,Chennai,Hyderabad,FedEx,Hyderabad Hub,4.36,1586.29,3,3,Delivered,Hyderabad,1734.28,Pending,TRK625733,2,Late delivery
SHIP732117,ORD618785,SND2283,RCV6621,Bangalore,Hyderabad,UPS,Chennai Hub,12.11,734.32,1,0,In Transit,Mumbai,1931.46,Paid,TRK177637,,
SHIP352308,ORD761706,SND8939,RCV1742,Hyderabad,Pune,India Post,Bangalore Hub,10.87,1582.2,8,10,Out for Delivery,Pune,348.89,Pending,TRK667722,,
SHIP790640,ORD145397,SND8977,RCV4366,Chennai,Ahmedabad,Blue Dart,Delhi Hub,4.89,1708.74,3,5,Lost,Delhi,700.01,Failed,TRK892006,,
SHIP788394,ORD741450,SND5081,RCV3717,Delhi,Pune,UPS,Delhi Hub,4.61,1720.25,1,2,Delivered,Pune,716.59,Pending,TRK427996,2.2,Late delivery
SHIP824270,ORD240421,SND1340,RCV4816,Delhi,Kolkata,FedEx,Kolkata Hub,1.64,807.25,6,7,Out for Delivery,Hyderabad,1567.89,Paid,TRK695064,,
SHIP544932,ORD831770,SND1936,RCV4074,Delhi,Chennai,DTDC,Bangalore Hub,13.01,947.83,4,4,In Transit,Mumbai,1452.03,Paid,TRK779565,,
SHIP922269,ORD644737,SND7111,RCV8765,Pune,Kolkata,DHL,Mumbai Hub,15.7,1808.21,1,-1,In Transit,Ahmedabad,1272.72,Pending,TRK986334,,
SHIP681940,ORD892223,SND4821,RCV3735,Ahmedabad,Kolkata,DHL,Bangalore Hub,11.25,537.04,2,0,Out for Delivery,Hyderabad,1057.74,Paid,TRK368294,,
SHIP591726,ORD160607,SND2096,RCV9679,Ahmedabad,Bangalore,DTDC,Bangalore Hub,1.69,1851.88,10,9,Returned,Mumbai,1456.58,Paid,TRK114043,,
SHIP994080,ORD994984,SND7868,RCV4558,Kolkata,Pune,UPS,Bangalore Hub,12.75,1961.96,2,1,Delayed,Hyderabad,1317.74,Paid,TRK236139,,
SHIP989201,ORD825994,SND3409,RCV6745,Mumbai,Kolkata,UPS,Chennai Hub,19.59,1870.04,9,12,Returned,Chennai,943.91,Pending,TRK122982,,
SHIP141730,ORD316086,SND7014,RCV4756,Ahmedabad,Mumbai,FedEx,Delhi Hub,2.14,436.71,10,10,Delivered,Mumbai,1558.84,Paid,TRK141639,3.2,
SHIP747060,ORD935252,SND8668,RCV6703,Mumbai,Mumbai,FedEx,Bangalore Hub,10.3,1704.75,4,4,Out for Delivery,Hyderabad,327.45,Pending,TRK834403,,
SHIP916852,ORD246012,SND9515,RCV3071,Ahmedabad,Hyderabad,UPS,Kolkata Hub,3.63,452.9,6,4,Returned,Pune,780.37,Pending,TRK255623,,
SHIP747708,ORD465873,SND4921,RCV6664,Ahmedabad,Pune,DTDC,Mumbai Hub,1.71,1889.47,9,9,Lost,Ahmedabad,911.99,Pending,TRK532745,,
SHIP482922,ORD402755,SND8001,RCV7635,Bangalore,Kolkata,DTDC,Hyderabad Hub,14.68,1021.89,4,6,Delivered,Kolkata,1621.51,Failed,TRK458341,4.2,Late delivery
SHIP157167,ORD474335,SND8070,RCV8831,Hyderabad,Hyderabad,Blue Dart,Delhi Hub,18.48,953.77,7,5,In Transit,Ahmedabad,1874.33,Pending,TRK677803,,
SHIP828692,ORD871731,SND8951,RCV5461,Kolkata,Ahmedabad,Amazon Logistics,Chennai Hub,1.37,235,10,10,Delayed,Pune,1005.35,Failed,TRK483585,,
SHIP371014,ORD752031,SND9735,RCV2789,Ahmedabad,Kolkata,Amazon Logistics,Mumbai Hub,17.35,997.27,6,5,Delayed,Delhi,636.58,Pending,TRK113494,,
SHIP340102,ORD906589,SND3684,RCV5177,Chennai,Kolkata,Blue Dart,Chennai Hub,11.71,855.54,10,8,Lost,Chennai,589.99,Pending,TRK773224,,
SHIP138381,ORD988995,SND3467,RCV1013,Bangalore,Hyderabad,UPS,Delhi Hub,18.92,1802.66,10,12,Returned,Ahmedabad,60.9,Failed,TRK792802,,
SHIP427396,ORD662005,SND4301,RCV8272,Hyderabad,Delhi,Amazon Logistics,Kolkata Hub,11.61,1960.6,4,6,In Transit,Pune,1024.63,Pending,TRK687661,,
SHIP187037,ORD747443,SND4836,RCV3945,Hyderabad,Delhi,Blue Dart,Chennai Hub,1.78,798.72,1,2,Lost,Mumbai,651.26,Failed,TRK627309,,
SHIP629775,ORD670805,SND7757,RCV6898,Ahmedabad,Hyderabad,UPS,Hyderabad Hub,6.46,60.96,10,13,Out for Delivery,Pune,118.77,Failed,TRK790497,,
SHIP723719,ORD654455,SND8064,RCV2226,Kolkata,Kolkata,DTDC,Chennai Hub,2.06,241.27,5,7,Delayed,Bangalore,326.15,Paid,TRK130181,,
SHIP907066,ORD237953,SND3433,RCV4586,Hyderabad,Ahmedabad,Blue Dart,Chennai Hub,10.59,1838.73,4,2,Lost,Hyderabad,1501.19,Failed,TRK128448,,
SHIP350395,ORD951454,SND2734,RCV2492,Hyderabad,Hyderabad,DHL,Hyderabad Hub,12.88,936.46,8,10,Out for Delivery,Ahmedabad,671.43,Pending,TRK389116,,
SHIP377916,ORD685563,SND7507,RCV9081,Hyderabad,Chennai,Blue Dart,Kolkata Hub,1.03,1661.91,2,1,Lost,Mumbai,562.38,Paid,TRK616454,,
SHIP195780,ORD520634,SND6940,RCV7418,Kolkata,Delhi,Blue Dart,Bangalore Hub,16.28,991.83,7,9,Returned,Delhi,1901.76,Failed,TRK129868,,
SHIP928121,ORD422042,SND9953,RCV1808,Pune,Hyderabad,DHL,Bangalore Hub,12.02,1970.05,5,3,Delayed,Chennai,1524.2,Pending,TRK556223,,
SHIP700122,ORD516121,SND4928,RCV6921,Mumbai,Chennai,DHL,Chennai Hub,19.07,1275.29,9,8,In Transit,Hyderabad,1438.76,Failed,TRK712274,,
SHIP328553,ORD950557,SND6508,RCV4720,Ahmedabad,Kolkata,UPS,Delhi Hub,1.44,1411.69,4,6,Delayed,Hyderabad,1822.88,Paid,TRK285055,,
SHIP841835,ORD954819,SND3392,RCV2026,Hyderabad,Kolkata,UPS,Delhi Hub,17.52,515.78,9,7,Delayed,Bangalore,1294.6,Failed,TRK705186,,
SHIP235332,ORD520120,SND9072,RCV6912,Bangalore,Mumbai,DHL,Delhi Hub,2.84,1552.98,7,6,In Transit,Bangalore,1759,Failed,TRK565452,,
SHIP654467,ORD543827,SND7341,RCV7741,Bangalore,Bangalore,FedEx,Mumbai Hub,5.06,725.53,1,-1,In Transit,Kolkata,1495.82,Failed,TRK126367,,
SHIP273090,ORD698547,SND3670,RCV3605,Pune,Pune,India Post,Hyderabad Hub,16.62,1883.43,10,11,Delayed,Kolkata,1776.13,Failed,TRK532495,,
SHIP493699,ORD246365,SND7447,RCV4724,Bangalore,Delhi,UPS,Chennai Hub,10.1,232.45,9,9,Delayed,Kolkata,1302.72,Paid,TRK708406,,
SHIP448193,ORD629365,SND5173,RCV7328,Mumbai,Pune,UPS,Kolkata Hub,19.59,1341.82,4,7,Delivered,Pune,519.4,Pending,TRK110075,2.3,
SHIP875147,ORD761145,SND9176,RCV5163,Hyderabad,Delhi,DHL,Mumbai Hub,6.33,704.05,9,7,Out for Delivery,Pune,883.16,Paid,TRK730313,,
SHIP781401,ORD336115,SND5991,RCV7483,Hyderabad,Pune,FedEx,Chennai Hub,0.52,1694.04,2,0,Delayed,Mumbai,579.55,Paid,TRK740831,,
SHIP370314,ORD810265,SND9587,RCV7160,Ahmedabad,Chennai,UPS,Kolkata Hub,9.84,110.91,4,7,Lost,Pune,1162.1,Paid,TRK677579,,
SHIP760472,ORD683558,SND8828,RCV6441,Hyderabad,Delhi,Amazon Logistics,Hyderabad Hub,9.12,1259.42,3,4,In Transit,Chennai,96.54,Paid,TRK739603,,
SHIP825430,ORD447246,SND9165,RCV7256,Mumbai,Kolkata,Amazon Logistics,Mumbai Hub,13.55,145.19,6,6,Lost,Hyderabad,864.93,Pending,TRK900098,,
SHIP938422,ORD529917,SND8021,RCV6217,Bangalore,Ahmedabad,FedEx,Chennai Hub,3.74,764.63,4,5,Out for Delivery,Pune,739.45,Paid,TRK162121,,
SHIP154316,ORD643442,SND2093,RCV5095,Ahmedabad,Delhi,DTDC,Hyderabad Hub,14.35,450.73,9,9,Out for Delivery,Bangalore,412.47,Failed,TRK797076,,
SHIP197356,ORD452890,SND2122,RCV2389,Bangalore,Ahmedabad,UPS,Hyderabad Hub,0.79,1003.22,1,1,Out for Delivery,Ahmedabad,1042.98,Pending,TRK179094,,
SHIP314911,ORD335690,SND8911,RCV6399,Kolkata,Delhi,DTDC,Delhi Hub,7.09,1556.46,4,6,Out for Delivery,Ahmedabad,1509.99,Pending,TRK506709,,
SHIP849189,ORD707822,SND9269,RCV6828,Ahmedabad,Chennai,Amazon Logistics,Delhi Hub,4.54,1176.08,8,11,Returned,Mumbai,268.7,Pending,TRK981377,,
SHIP503360,ORD359275,SND8562,RCV9166,Delhi,Delhi,FedEx,Chennai Hub,18.43,813.48,3,3,Out for Delivery,Hyderabad,275.65,Pending,TRK417447,,
SHIP836576,ORD366547,SND7094,RCV3661,Ahmedabad,Mumbai,India Post,Chennai Hub,8.18,1149.35,4,7,In Transit,Chennai,1353.86,Paid,TRK917682,,
SHIP431292,ORD886211,SND8408,RCV2227,Mumbai,Pune,FedEx,Mumbai Hub,8.5,1856.75,2,0,Returned,Mumbai,577.22,Paid,TRK619083,,
SHIP166057,ORD381441,SND1120,RCV9315,Kolkata,Delhi,DTDC,Mumbai Hub,3.89,1854.74,8,10,Delayed,Pune,215.73,Pending,TRK630665,,
SHIP727641,ORD287303,SND6239,RCV1618,Kolkata,Chennai,DHL,Chennai Hub,2.07,1757.76,10,11,Out for Delivery,Pune,1802.22,Pending,TRK200323,,
SHIP564666,ORD802356,SND7603,RCV1481,Hyderabad,Kolkata,DHL,Chennai Hub,17.71,1436.33,7,7,Lost,Kolkata,175.98,Paid,TRK228392,,
SHIP308992,ORD105778,SND1826,RCV6291,Pune,Ahmedabad,Blue Dart,Kolkata Hub,15.73,1912.17,3,4,Lost,Ahmedabad,369.47,Failed,TRK782307,,
SHIP682679,ORD698203,SND2781,RCV8027,Hyderabad,Kolkata,India Post,Bangalore Hub,17.94,1209.91,3,6,Out for Delivery,Pune,1826.59,Pending,TRK736441,,
SHIP153802,ORD550736,SND2091,RCV9403,Ahmedabad,Pune,Amazon Logistics,Chennai Hub,19.65,626.09,7,6,Delayed,Kolkata,1804.09,Pending,TRK176843,,
SHIP916795,ORD903934,SND6989,RCV3109,Bangalore,Kolkata,UPS,Hyderabad Hub,7.04,1170.17,6,6,Out for Delivery,Ahmedabad,1497.21,Pending,TRK601630,,
SHIP375812,ORD999000,SND9662,RCV7049,Mumbai,Mumbai,FedEx,Hyderabad Hub,6.84,208.86,10,11,Out for Delivery,Pune,1870.12,Failed,TRK725532,,
SHIP923952,ORD961528,SND8133,RCV9873,Chennai,Ahmedabad,UPS,Bangalore Hub,18.54,1933.91,10,11,Delayed,Bangalore,1704.13,Failed,TRK510207,,
SHIP443295,ORD106723,SND7583,RCV8689,Pune,Chennai,India Post,Kolkata Hub,3.82,1790.34,10,10,In Transit,Pune,418.42,Pending,TRK695926,,
SHIP732645,ORD959374,SND7460,RCV7293,Chennai,Hyderabad,Blue Dart,Kolkata Hub,2.48,574.28,10,11,Delivered,Hyderabad,1990.83,Pending,TRK723007,3.4,
SHIP593895,ORD432121,SND3131,RCV5423,Delhi,Bangalore,FedEx,Hyderabad Hub,8.78,615.11,7,8,Out for Delivery,Mumbai,1187.52,Failed,TRK663202,,
SHIP727274,ORD638815,SND2029,RCV3182,Hyderabad,Bangalore,Amazon Logistics,Kolkata Hub,1.4,1440.35,3,1,Delivered,Bangalore,834.16,Pending,TRK460355,5,Package damaged
SHIP421007,ORD848820,SND5655,RCV8092,Chennai,Delhi,India Post,Mumbai Hub,14.46,250.2,10,9,Out for Delivery,Hyderabad,1386.81,Pending,TRK257532,,
SHIP459514,ORD989614,SND8794,RCV6094,Ahmedabad,Mumbai,DHL,Mumbai Hub,4.07,1562.24,9,8,Out for Delivery,Delhi,294.14,Failed,TRK659658,,
SHIP674447,ORD413967,SND8248,RCV9029,Kolkata,Delhi,FedEx,Chennai Hub,9.15,1697.72,5,3,Out for Delivery,Delhi,967.38,Pending,TRK393788,,
SHIP160633,ORD476956,SND7481,RCV4218,Bangalore,Bangalore,Amazon Logistics,Delhi Hub,8.45,512.54,8,11,Lost,Chennai,439.17,Failed,TRK312304,,
SHIP500335,ORD263815,SND4345,RCV6086,Hyderabad,Kolkata,DHL,Hyderabad Hub,17.56,1872.47,2,0,Out for Delivery,Bangalore,1397.99,Paid,TRK748592,,
SHIP939581,ORD411435,SND8413,RCV4847,Hyderabad,Bangalore,DHL,Bangalore Hub,3.98,159.78,4,2,Delivered,Bangalore,419.69,Paid,TRK558645,4.4,Great experience
SHIP713188,ORD628779,SND9240,RCV4984,Kolkata,Kolkata,Amazon Logistics,Hyderabad Hub,1.49,969.05,1,3,Returned,Delhi,712.06,Pending,TRK485183,,
SHIP142743,ORD302274,SND9552,RCV6842,Ahmedabad,Mumbai,DTDC,Delhi Hub,5.83,1435.18,6,9,Returned,Delhi,1197.73,Pending,TRK405352,,
SHIP960583,ORD375416,SND3714,RCV6658,Kolkata,Pune,UPS,Hyderabad Hub,18.01,993.59,3,2,Delivered,Pune,746.61,Failed,TRK503897,2.5,On-time service
SHIP263373,ORD677138,SND2726,RCV6974,Chennai,Pune,Blue Dart,Kolkata Hub,11.9,843.08,1,1,Delivered,Pune,1039.98,Pending,TRK502654,2.6,Fast delivery!
SHIP982702,ORD753428,SND9535,RCV8849,Delhi,Bangalore,FedEx,Bangalore Hub,3.85,1732.92,2,0,Returned,Chennai,83.5,Failed,TRK284520,,
SHIP205068,ORD572296,SND7555,RCV7868,Delhi,Ahmedabad,FedEx,Delhi Hub,7.23,6.02,9,10,Delayed,Hyderabad,591.55,Paid,TRK708857,,
SHIP283219,ORD157441,SND6387,RCV3695,Kolkata,Pune,UPS,Hyderabad Hub,2.88,1642.91,1,1,Returned,Chennai,205.6,Failed,TRK520921,,
SHIP919640,ORD294365,SND7643,RCV7395,Hyderabad,Bangalore,DHL,Hyderabad Hub,5.52,194.89,3,3,Lost,Chennai,304.02,Paid,TRK758035,,
SHIP138621,ORD965218,SND2461,RCV1296,Chennai,Ahmedabad,Blue Dart,Mumbai Hub,18.69,256.54,4,6,Delayed,Kolkata,1406.26,Failed,TRK692924,,
SHIP277393,ORD788093,SND9367,RCV4250,Mumbai,Pune,UPS,Mumbai Hub,11.54,70.27,1,3,Out for Delivery,Mumbai,1656.02,Paid,TRK908770,,
SHIP184916,ORD497227,SND5905,RCV9970,Mumbai,Mumbai,FedEx,Delhi Hub,16.61,252.78,7,7,Returned,Hyderabad,407.01,Paid,TRK727397,,
SHIP120484,ORD506906,SND7819,RCV1393,Ahmedabad,Bangalore,Blue Dart,Bangalore Hub,9.11,1484.26,9,9,Delayed,Chennai,782.97,Paid,TRK593774,,
SHIP999531,ORD596120,SND8624,RCV9675,Bangalore,Hyderabad,DTDC,Hyderabad Hub,8.26,5.8,9,9,Delayed,Mumbai,171.94,Paid,TRK322642,,
SHIP491444,ORD431179,SND2552,RCV5359,Chennai,Pune,DHL,Hyderabad Hub,15.31,403.49,6,6,Out for Delivery,Delhi,1704.4,Failed,TRK800273,,
SHIP172826,ORD278911,SND2389,RCV9907,Bangalore,Ahmedabad,FedEx,Kolkata Hub,2.54,1339.45,9,9,In Transit,Bangalore,1039.5,Failed,TRK745338,,
SHIP435564,ORD333466,SND5631,RCV8648,Bangalore,Kolkata,DTDC,Kolkata Hub,15.93,1640.12,8,7,In Transit,Kolkata,891.72,Failed,TRK241163,,
SHIP238947,ORD455685,SND4322,RCV2554,Chennai,Bangalore,UPS,Chennai Hub,2.79,1757.42,1,3,Delivered,Bangalore,938.92,Pending,TRK813799,1.1,Fast delivery!
SHIP951995,ORD461837,SND7847,RCV5388,Bangalore,Delhi,FedEx,Delhi Hub,9.31,763.22,2,5,In Transit,Bangalore,1785.38,Pending,TRK479832,,
SHIP555803,ORD142323,SND2450,RCV8288,Mumbai,Mumbai,India Post,Mumbai Hub,8.95,935.62,9,9,Delayed,Ahmedabad,1605.19,Paid,TRK203554,,
SHIP850827,ORD786674,SND8607,RCV8443,Hyderabad,Ahmedabad,DTDC,Hyderabad Hub,2.8,713.22,1,2,In Transit,Pune,837.57,Pending,TRK447441,,
SHIP934742,ORD370922,SND4556,RCV8350,Bangalore,Pune,UPS,Kolkata Hub,12.17,561.27,2,4,Delivered,Pune,1140.26,Failed,TRK816778,1.6,
SHIP646161,ORD371922,SND6987,RCV9589,Ahmedabad,Ahmedabad,FedEx,Mumbai Hub,10.65,1633.29,2,4,Out for Delivery,Kolkata,1703.84,Paid,TRK494627,,
SHIP593562,ORD817236,SND7335,RCV7167,Hyderabad,Delhi,DHL,Delhi Hub,11.03,270.57,1,3,In Transit,Hyderabad,1619.46,Paid,TRK885336,,
SHIP141848,ORD954206,SND1491,RCV3770,Mumbai,Hyderabad,Blue Dart,Kolkata Hub,9.44,473.55,2,3,Delivered,Hyderabad,188.13,Failed,TRK551532,3.1,Fast delivery!
SHIP190343,ORD512202,SND1262,RCV8067,Pune,Ahmedabad,UPS,Bangalore Hub,12.7,318.99,3,6,Delivered,Ahmedabad,1302.93,Pending,TRK534362,4.5,Package damaged
SHIP280835,ORD962901,SND3196,RCV9023,Kolkata,Mumbai,Amazon Logistics,Kolkata Hub,2.61,1954.98,7,7,Out for Delivery,Delhi,107.4,Failed,TRK323559,,
SHIP460592,ORD633790,SND8295,RCV2042,Delhi,Pune,DHL,Chennai Hub,12.46,400.15,7,10,Returned,Ahmedabad,933.93,Pending,TRK865260,,
